trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.6, 'e': 0.2523606630893462}",25,10,4.949594218046593,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.2498370564584527}",20,9,-23.059638534257545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.6, 'e': 0.24733868589386818}",20,8,24.684026414526226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.24486529903492948}",35,21,4.790227292935504,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.6, 'e': 0.2424166460445802}",20,9,7.025491055386586,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.6, 'e': 0.2399924795841344}",25,8,-35.50147060204874,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.6, 'e': 0.23759255478829303}",25,14,-2.380787878934485,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.6, 'e': 0.23521662924041012}",25,15,20.03471799768788,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.6, 'e': 0.232864462948006}",20,10,-21.805529374390176,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.6, 'e': 0.23053581831852593}",25,8,-59.83572488666442,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
147,False,"{'a': 0.6, 'e': 0.22823046013534068}",25,14,-43.13271725685247,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.6, 'e': 0.22594815553398728}",25,18,13.887682550325664,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.6, 'e': 0.2236886739786474}",30,20,-4.60652578271291,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 0.22145178723886091}",20,14,-2.1656544933221045,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.2192372693664723}",20,6,3.109695167024383,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 0.21704489667280757}",25,12,-26.811296100600572,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.6, 'e': 0.2148744477060795}",25,18,11.383687911204543,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.2127257032290187}",20,12,1.4739792209415459,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 0.21059844619672852}",25,16,3.8508011292919084,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.20849246173476124}",20,14,11.205210235289284,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.2064075371174136}",25,13,10.809180849693224,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.2043434617462395}",25,12,24.106189355531075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.2023000271287771}",20,2,7.448558218330028,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.2002770268574893}",25,17,-2.5701552288974385,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.19827425658891443}",20,5,12.562057777751303,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.19629151402302528}",30,23,14.927331388377526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 0.19432859888279502}",25,13,-18.542114012105657,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.6, 'e': 0.19238531289396707}",25,13,-0.860939803817214,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.1904614597650274}",25,20,8.991845418636794,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.1885568451673771}",25,13,-21.010126026804965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.6, 'e': 0.18667127671570335}",20,16,10.24409120828762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.1848045639485463}",20,16,8.2240937325843,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.18295651830906084}",35,27,13.629192174637257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.18112695312597024}",30,16,19.71329410449585,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.17931568359471053}",20,8,-41.71070129059542,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.6, 'e': 0.17752252675876343}",30,10,-58.76916837130224,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
173,False,"{'a': 0.6, 'e': 0.1757473014911758}",20,9,18.668440113040084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.173989828476264}",25,11,4.167154486973348,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.6, 'e': 0.1722499301915014}",20,15,10.703365081366378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.17052743088958636}",25,7,-11.533717885513589,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.1688221565806905}",30,21,19.199475729130334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.1671339350148836}",20,6,-8.632048965739775,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.6, 'e': 0.16546259566473476}",25,11,-37.39805526942106,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.6, 'e': 0.16380796970808742}",30,12,-20.083420261114668,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.6, 'e': 0.16216989001100654}",25,13,-24.36205319274228,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.16054819111089647}",20,11,3.323121013587996,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.6, 'e': 0.1589427091997875}",20,12,14.180060241806952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
